visit_id,store_id,rate_per_hr_window,daypart_factor_used,operating_hours_used,daily_txn_est,basket_source,B_obs,B_asked,avg_basket_est,revenue_flow_low,revenue_flow_base,revenue_flow_high,revenue_inventory_est,inventory_items_used,triangulation_ratio,owner_band_low,owner_band_high,owner_band_contains_base,confidence_score,flags
MART01_4222026_60000PM,MART01,44.0,1.4,12.0,377.14285714285717,blended,512.0,775.0,617.2,14142.857142857145,232772.57142857145,707142.8571428572,101666.66666666667,3,0.4367639453511132,,,,6,triangulation_disagree_ratio=0.44
MART01_4232026_121500PM,MART01,28.0,0.9,12.0,373.3333333333333,blended,472.0,775.0,593.2,14000.0,221461.33333333334,700000.0,101666.66666666667,3,0.4590718620556786,,,,6,triangulation_disagree_ratio=0.46
MART02_4232026_23000PM,MART02,24.0,0.7,14.0,480.0,blended,166.0,275.0,209.6,18000.0,100608.0,300000.0,92500.0,3,0.9194099872773537,,,,5,
KIR02_4232026_80000PM,KIR02,24.0,0.7,12.0,411.42857142857144,blended,288.0,550.0,392.79999999999995,30857.142857142855,161609.14285714284,514285.7142857143,220000.0,3,1.3613091197103417,160000.0,180000.0,True,9,
KIR01_4232026_63000PM,KIR01,40.0,1.4,11.0,314.2857142857143,blended,304.0,525.0,392.4,11785.714285714286,123325.71428571428,392857.14285714284,119333.33333333334,3,0.967627343774133,80000.0,100000.0,False,7,
PAN01_4232026_50000PM,PAN01,52.0,1.4,9.0,334.28571428571433,blended,148.0,260.0,192.8,5014.285714285715,64450.285714285725,208928.57142857145,76666.66666666667,3,1.1895473513730774,60000.0,80000.0,True,9,
PAN02_4242026_93000AM,PAN02,20.0,1.0,12.0,240.0,blended,138.0,135.0,136.8,3600.0,32832.0,75000.0,40000.0,3,1.2183235867446394,20000.0,40000.0,True,9,
MART03_4242026_60000PM,MART03,56.0,1.4,11.0,440.0,blended,470.0,800.0,602.0,33000.0,264880.0,825000.0,147833.33333333334,3,0.5581143662539012,260000.0,280000.0,True,9,triangulation_disagree_ratio=0.56
KIR03_4222026_30000PM,KIR03,32.0,0.7,12.0,548.5714285714286,blended,300.0,525.0,390.0,20571.428571428572,213942.85714285713,685714.2857142857,206666.6666666667,3,0.9659900284900287,200000.0,220000.0,True,8,
PAN03_4222026_70000PM,PAN03,32.0,1.4,11.5,262.8571428571429,blended,156.0,175.0,163.6,9857.142857142859,43003.42857142857,98571.42857142858,55833.333333333336,3,1.2983460897912902,40000.0,60000.0,True,8,
MART04_4222026_100000AM,MART04,24.0,0.9,11.5,306.66666666666663,blended,272.0,300.0,283.2,22999.999999999996,86847.99999999999,191666.66666666663,82833.33333333334,3,0.9537736428395974,80000.0,100000.0,True,9,
